Entity 1;Entity 2;KG - Cosine Similarity;Label
http://purl.obolibrary.org/obo/3973;http://purl.obolibrary.org/obo/C0032914;-0.05494571467343569;0
http://purl.obolibrary.org/obo/5925;http://purl.obolibrary.org/obo/C0005684;0.06675418806393918;1
http://purl.obolibrary.org/obo/64241;http://purl.obolibrary.org/obo/C0271933;0.04032263098418756;0
http://purl.obolibrary.org/obo/4615;http://purl.obolibrary.org/obo/C1850362;0.005151405499139143;0
http://purl.obolibrary.org/obo/7040;http://purl.obolibrary.org/obo/C0036341;0.11156101667441867;1
http://purl.obolibrary.org/obo/3557;http://purl.obolibrary.org/obo/C1708349;-0.06376009084718702;1
http://purl.obolibrary.org/obo/182;http://purl.obolibrary.org/obo/C3279941;0.10195576453433038;0
http://purl.obolibrary.org/obo/4524;http://purl.obolibrary.org/obo/C3538946;-0.003374660877496472;0
http://purl.obolibrary.org/obo/975;http://purl.obolibrary.org/obo/C0038454;-0.011934263744760563;0
http://purl.obolibrary.org/obo/23474;http://purl.obolibrary.org/obo/C0752125;-0.08336674836358804;0
http://purl.obolibrary.org/obo/1027;http://purl.obolibrary.org/obo/C0009405;0.06431480985623139;1
http://purl.obolibrary.org/obo/79783;http://purl.obolibrary.org/obo/C0206698;-0.020594158232017004;0
http://purl.obolibrary.org/obo/3417;http://purl.obolibrary.org/obo/C0006142;-0.030165959916685126;0
http://purl.obolibrary.org/obo/92335;http://purl.obolibrary.org/obo/C0751291;-0.09933456634051849;1
http://purl.obolibrary.org/obo/4591;http://purl.obolibrary.org/obo/C4551568;-0.04692629792385516;1
http://purl.obolibrary.org/obo/3949;http://purl.obolibrary.org/obo/C1510586;-0.0701264528307586;0
http://purl.obolibrary.org/obo/3082;http://purl.obolibrary.org/obo/C0266470;0.059995690440583296;0
http://purl.obolibrary.org/obo/8438;http://purl.obolibrary.org/obo/C0024306;-0.1180389505941738;1
http://purl.obolibrary.org/obo/9702;http://purl.obolibrary.org/obo/C1833382;0.012735090043480788;0
http://purl.obolibrary.org/obo/54463;http://purl.obolibrary.org/obo/C0020072;-0.0935730498278239;1
http://purl.obolibrary.org/obo/5189;http://purl.obolibrary.org/obo/C0001973;0.0009432050301761379;0
http://purl.obolibrary.org/obo/3782;http://purl.obolibrary.org/obo/C0036341;-0.04556676874925753;1
http://purl.obolibrary.org/obo/7490;http://purl.obolibrary.org/obo/C0023467;-0.08645769713487057;1
http://purl.obolibrary.org/obo/4942;http://purl.obolibrary.org/obo/C0751396;-0.00434086620173921;0
http://purl.obolibrary.org/obo/6261;http://purl.obolibrary.org/obo/C0028754;0.01216481540649615;0
http://purl.obolibrary.org/obo/4842;http://purl.obolibrary.org/obo/C0036341;-0.10173040739978985;1
http://purl.obolibrary.org/obo/23395;http://purl.obolibrary.org/obo/C0036341;-0.06785261275417079;1
http://purl.obolibrary.org/obo/462;http://purl.obolibrary.org/obo/C0042487;-0.02610972567008947;1
http://purl.obolibrary.org/obo/10765;http://purl.obolibrary.org/obo/C0004352;0.08444451609662901;1
http://purl.obolibrary.org/obo/7048;http://purl.obolibrary.org/obo/C4707243;0.06613303556390288;1
http://purl.obolibrary.org/obo/54658;http://purl.obolibrary.org/obo/C0019829;0.047980447760169596;1
http://purl.obolibrary.org/obo/51524;http://purl.obolibrary.org/obo/C0431399;-0.08678093505105869;1
http://purl.obolibrary.org/obo/3115;http://purl.obolibrary.org/obo/C0036202;-0.07683793295361885;1
http://purl.obolibrary.org/obo/2188;http://purl.obolibrary.org/obo/C0015625;0.05513117449842352;1
http://purl.obolibrary.org/obo/9126;http://purl.obolibrary.org/obo/C1621958;-0.06723560676227767;0
http://purl.obolibrary.org/obo/4282;http://purl.obolibrary.org/obo/C4707243;0.072637456352471;0
http://purl.obolibrary.org/obo/23476;http://purl.obolibrary.org/obo/C0152013;-0.12531767123171267;0
http://purl.obolibrary.org/obo/3162;http://purl.obolibrary.org/obo/C0011860;0.09675865336530713;1
http://purl.obolibrary.org/obo/1718;http://purl.obolibrary.org/obo/C3501846;0.13276104285958426;0
http://purl.obolibrary.org/obo/4308;http://purl.obolibrary.org/obo/C4041558;-0.023127542214143683;1
http://purl.obolibrary.org/obo/7039;http://purl.obolibrary.org/obo/C0345904;-0.0579994499183425;1
http://purl.obolibrary.org/obo/5500;http://purl.obolibrary.org/obo/C1868619;-0.011553457856066165;0
