Entity A;Entity B;;
5160;C2931891;;
1495;C2239176;;
84464;C0023467;;
4552;C0752121;;
2261;C0751396;;
4312;C0733682;;
3043;C0345904;;
1026;C0279626;;
10891;C0752347;;
2261;C0006142;;
1281;C1504412;;
633;C0003873;;
23114;C0036341;;
29089;C2713442;;
2053;C4707243;;
5376;C0393702;;
8085;C4748137;;
55005;C0006142;;
25828;C0699791;;
100131801;C1140680;;
5194;C3554000;;
6399;C0019202;;
26154;C0009402;;
10413;C1168401;;
4864;C0376358;;
4233;C0023467;;
6513;C1851936;;
4968;C0751208;;
54084;C3553932;;
3481;C0009402;;
6888;C2239176;;
5728;C0004352;;
50937;C3179349;;
675;C0684249;;
7040;C0024117;;
23095;C2748542;;
5083;C4722327;;
2077;C1832175;;
1026;C0376358;;
27022;C0796250;;
790;C0002875;;
5245;C1857355;;
4214;C1836743;;
3458;C0004352;;
4143;C3151058;;
19;C1844376;;
2263;C0025286;;
6774;C0232981;;
4694;C1856405;;
1120;C0027404;;
4534;C0546264;;
4128;C0751208;;
4436;C0476089;;
6514;C0432272;;
999;C1333991;;
54820;C3489396;;
7528;C4048328;;
5444;C0080178;;
6597;C0796074;;
6891;C0036341;;
3476;C0752121;;
7474;C0004352;;
2892;C0004352;;
5000;C0376358;;
2690;C0268568;;
3090;C0751291;;
8878;C0004352;;
138050;C0206698;;
6855;C0007131;;
23569;C0003873;;
54894;C4721532;;
5054;C1708349;;
2796;C0342384;;
1144;C4551479;;
5824;C0410174;;
23095;C0031511;;
5251;C0684249;;
1496;C0026654;;
79796;C0334634;;
6938;C2239176;;
10205;C4748374;;
23193;C2751306;;
546;C1833229;;
2316;C1835614;;
5443;C0276496;;
55699;C2239176;;
5290;C2931822;;
2130;C0376358;;
8504;C1857781;;
7474;C4721509;;
7965;C0037769;;
5994;C1859537;;
596;C0006142;;
359;C0032580;;
3918;C0079297;;
355;C2751316;;
9568;C0004352;;
375790;C0001973;;
4524;C2239176;;
3752;C1708349;;
11315;C1720860;;
183;C0035344;;
3559;C1843183;;
4488;C0010278;;
6532;C1148551;;
6095;C1858991;;
2779;C1850362;;
8803;C3489396;;
3107;C1867449;;
1815;C0009402;;
9096;C1840451;;
1294;C0268281;;
6335;C4551549;;
23395;C1704417;;
1356;C0476089;;
7431;C0006142;;
7372;C4225200;;
2072;C0023467;;
10019;C3837958;;
5518;C0276496;;
2056;C1510586;;
9719;C1621958;;
6690;C0376358;;
4878;C2677294;;
841;C1961102;;
2778;C0001206;;
83990;C0023467;;
1499;C0242387;;
51256;C0206686;;
51741;C0276496;;
23530;C0342482;;
10395;C1140680;;
8842;C0376358;;
31;C2239176;;
4306;C0001973;;
596;C2239176;;
27030;C2936783;;
4091;C0036341;;
2898;C1621958;;
4137;C2239176;;
5443;C0410480;;
7042;C0345967;;
6583;C0087031;;
10262;C0036341;;
6329;C4225362;;
1282;C0265962;;
330;C0334634;;
23171;C3149378;;
8216;C0020474;;
4318;C0024117;;
284217;C0036341;;
2876;C0276496;;
5468;C0013366;;
5058;C0279702;;
7038;C0677607;;
26047;C0028754;;
54209;C0795907;;
79783;C4722327;;
22909;C0009405;;
8443;C0036341;;
4359;C0007959;;
2678;C0023264;;
2052;C2239176;;
894;C0004352;;
1471;C0206711;;
846;C4551961;;
8912;C0005283;;
51085;C0029459;;
5443;C0009402;;
4853;C1860789;;
7139;C0700053;;
10347;C0006142;;
1509;C0279702;;
9187;C1848172;;
1371;C0087031;;
658;C1168401;;
6010;C4552079;;
5096;C1449563;;
84879;C2239176;;
5357;C0345904;;
1778;C3501843;;
9786;C1449563;;
7015;C1140680;;
53335;C0346153;;
7421;C0007131;;
6697;C1851920;;
27019;C4225411;;
1545;C0265535;;
2178;C0271979;;
23476;C1858991;;
6898;C0268623;;
6899;C0036341;;
6229;C4692845;;
25836;C1853099;;
2706;C0025221;;
4705;C0008312;;
57190;C4722327;;
2260;C2752089;;
1641;C0431375;;
3596;C0004352;;
343641;C0006142;;
10128;C2751306;;
5243;C1846784;;
7436;C0087031;;
2906;C0036341;;
6261;C0011860;;
3728;C1832600;;
3273;C0006142;;
6337;C1449842;;
374291;C0023264;;
3284;C0376358;;
2006;C0279626;;
336;C1704417;;
107;C0149925;;
2067;C1708349;;
841;C0751337;;
182;C0025149;;
1499;C0279626;;
5160;C0752121;;
3559;C3837958;;
5495;C0796117;;
5741;C3151230;;
55163;C0036341;;
57545;C0730295;;
81839;C0265219;;
25861;C2748542;;
7428;C0030421;;
4297;C4552100;;
2068;C0009402;;
2146;C0029463;;
5290;C0024117;;
55636;C2676042;;
2697;C1862939;;
7351;C0028754;;
590;C1622434;;
1013;C0001973;;
6834;C0376358;;
10644;C4310805;;
9037;C0004352;;
7291;C0345967;;
60482;C0015625;;
4437;C1333990;;
54982;C0268281;;
1588;C0036341;;
5889;C0376358;;
54894;C0206698;;
7040;C0265287;;
10397;C4551804;;
2147;C0752123;;
50964;C0013366;;
23476;C0887850;;
8314;C0345905;;
54704;C0206698;;
4191;C0030421;;
59341;C4551479;;
2811;C3463824;;
238;C0279702;;
171023;C3463824;;
4790;C0011860;;
5265;C0024117;;
7157;C0428791;;
4036;C0036341;;
7273;C1837342;;
291;C0025286;;
55904;C0004352;;
6310;C0276496;;
55687;C1838854;;
116369;C2750473;;
8516;C0036341;;
7015;C0028754;;
1969;C0175704;;
4625;C0152423;;
9851;C0431399;;
9711;C0752123;;
8314;C3463824;;
9474;C0002395;;
875;C1708349;;
27022;C1510586;;
6531;C1263846;;
1956;C1845987;;
732;C1855869;;
8540;C0036341;;
7351;C0345904;;
6597;C0029456;;
208;C0025237;;
6569;C1850362;;
90411;C1850597;;
5894;C4551952;;
10273;C0752121;;
5371;C3151037;;
4893;C0994516;;
2697;C0752120;;
50814;C0006142;;
4311;C0268390;;
2138;C0175704;;
85476;C1850598;;
6616;C0011860;;
10413;C2239176;;
9702;C3837958;;
5698;C0036069;;
9378;C1510586;;
7097;C0009402;;
2260;C0008924;;
5443;C1956097;;
3553;C1708349;;
2100;C0036341;;
51428;C0376358;;
4594;C1260899;;
5925;C0376358;;
355;C0752125;;
4645;C4748348;;
54768;C1708349;;
8085;C0279626;;
144568;C0025149;;
4010;C0036341;;
6342;C1858991;;
2332;C4552079;;
596;C1861098;;
4000;C0751337;;
8085;C0036920;;
1959;C0035372;;
1909;C0152423;;
55172;C0152426;;
2771;C0340485;;
2316;C4707243;;
51294;C0341703;;
1723;C0037889;;
7374;C2700553;;
55605;C0001973;;
4538;C0154832;;
4915;C0027819;;
3265;C3203102;;
7128;C0003873;;
111;C0029456;;
64374;C0376358;;
196;C1708349;;
4780;C0376358;;
1758;C1862103;;
6323;C4552072;;
6201;C1260899;;
4835;C0007131;;
5959;C0339535;;
4851;C1961102;;
5245;C0276496;;
367;C2675185;;
161742;C0345967;;
3756;C0006142;;
79791;C4721893;;
1277;C0029456;;
7037;C0036920;;
4669;C1802395;;
3690;C0376358;;
166378;C0036341;;
55505;C0265965;;
3845;C4551602;;
84231;C0345967;;
23236;C3150988;;
11200;C4722327;;
23512;C1857821;;
84464;C0279626;;
65266;C0751884;;
55120;C0917796;;
5156;C1867450;;
2261;C1708349;;
3991;C0566602;;
24140;C1140680;;
6948;C0029459;;
773;C3463824;;
5468;C1720860;;
5770;C1840452;;
80704;C1850597;;
472;C4041558;;
4128;C0020523;;
116442;C0004352;;
2784;C0028754;;
9215;C4084842;;
4915;C0028754;;
1282;C0028754;;
1106;C1708349;;
5230;C2239176;;
2316;C1845235;;
10771;C4015167;;
3339;C0752120;;
79867;C0751036;;
204;C2700553;;
861;C0027819;;
2908;C0752123;;
7994;C0004352;;
7837;C0035334;;
8216;C0027819;;
1281;C4707243;;
6833;C0008924;;
1717;C0009324;;
5993;C2751493;;
3586;C1846175;;
3569;C0010346;;
2735;C0238198;;
596;C0004352;;
1495;C0009405;;
841;C0006142;;
582;C4721952;;
9742;C1838429;;
57017;C1168401;;
4353;C2239176;;
2165;C0042487;;
338;C0004943;;
4851;C0005684;;
3417;C0279626;;
7431;C1865370;;
116150;C4693371;;
7080;C0007131;;
1788;C1510586;;
7189;C0004352;;
1861;C0376358;;
2627;C0376358;;
4744;C1862941;;
55036;C0751291;;
344;C0152013;;
10653;C0152426;;
79728;C1333991;;
5961;C0006413;;
54870;C0005684;;
1910;C0025149;;
1021;C1621958;;
4914;C2751092;;
1499;C4048328;;
79621;C1136042;;
1906;C4721952;;
1282;C0265341;;
50943;C0003873;;
6513;C0345904;;
7291;C1708349;;
1495;C0279626;;
79728;C0035344;;
150094;C0087031;;
1235;C1843181;;
84314;C4539714;;
2308;C0752122;;
6712;C0752124;;
55812;C1850598;;
81704;C0220744;;
6908;C0796074;;
10939;C0752124;;
6311;C0346153;;
10019;C0345967;;
65055;C3553656;;
7545;C0265534;;
2998;C2239176;;
85378;C3278481;;
7965;C4693912;;
4654;C0235833;;
4851;C0004114;;
440435;C0024305;;
6121;C0917796;;
54902;C0265251;;
596;C0410207;;
7403;C0279702;;
71;C1853623;;
90;C0152426;;
392255;C3150968;;
3569;C0019202;;
217;C2674838;;
3553;C0524620;;
7248;C0007131;;
84876;C2936694;;
3690;C0004352;;
4595;C0009402;;
2876;C0342482;;
23451;C0003873;;
5309;C0376358;;
1861;C4721509;;
3181;C0002736;;
207;C0023467;;
3090;C0006142;;
440193;C0752120;;
6234;C0015625;;
659;C1708349;;
2632;C0339527;;
2147;C0152423;;
1116;C1834558;;
5295;C0376358;;
6844;C0011860;;
4313;C0005684;;
9469;C1846896;;
627;C1510586;;
6591;C0238463;;
55129;C0004352;;
55780;C1848213;;
6041;C0376358;;
9451;C0796032;;
23385;C1845052;;
10265;C0154832;;
6121;C0038454;;
57152;C0022584;;
9786;C3553264;;
29893;C0085215;;
10002;C0035334;;
7020;C0008924;;
1021;C2718078;;
3786;C0949658;;
3572;C1140680;;
5371;C4551624;;
3162;C1858391;;
2911;C3809147;;
6338;C1449842;;
5979;C3501844;;
3265;C2239176;;
4893;C0007131;;
