Nr;Entity A;Entity B;BMA_Seco2004;BMA_Resnik1995;simGIC_Seco2004;simGIC_Resnik1995;MAX_Seco2004;MAX_Resnik1995;Label
2968;3848;C0022584;0.7148826958879146;0.49087610922843583;0.5426557038962878;0.5522814129983211;1.0;0.8507657156669775;1
2969;3848;C2931123;0.6022614082858843;0.3161724426515643;0.08377564909694449;0.06822754090462992;0.8246462350802095;0.5296298957267522;1
2970;3848;C2936837;0.7148826958879146;0.49087610922843583;0.5426557038962878;0.5522814129983211;1.0;0.8507657156669775;1
2971;3852;C0006142;0.3683218226388407;0.14442145779191218;0.028613153919687644;0.022335257073700397;0.7964917113448995;0.29523998448102623;1
2972;3852;C0406811;0.5199174637316017;0.27642324781143346;0.05397365124534674;0.04538431583483871;0.7964917113448995;0.4688049619015737;1
2973;3852;C4552092;0.6151755281577218;0.392885642065918;0.05883260979219159;0.05380166742571448;1.0;0.9013615034098842;1
2974;3853;C0265334;0.8086068066630245;0.5425714886881714;0.7666936494453492;0.7435123706636448;1.0;0.7418670990968165;1
2975;3853;C1706595;0.5253720780763022;0.39084213258229245;0.26315977729105156;0.2866321606276917;1.0;0.7198210254318119;1
2976;3853;C1721007;0.5069583617312565;0.35146467560923317;0.28464864747441637;0.2921980215593217;0.8643278075632663;0.7418670990968165;1
2977;3854;C0265334;0.8063471896978488;0.5371570124391816;0.92791163189903;0.9321615172995502;1.0;0.7418670990968165;1
2978;3854;C1706595;0.6077925058906111;0.3795130889195715;0.24347985878291628;0.24611523718565131;1.0;0.7198210254318119;1
2979;3854;C1721007;0.5729609222447101;0.37636379414250387;0.2829108449529419;0.2826496237087587;1.0;0.9013615034098842;1
2980;3856;C0006142;0.34570331543420524;0.10927544545816824;0.027576977606828094;0.01331214889200404;0.7964917113448995;0.2496529855650891;1
2981;3856;C0279702;0.33345628656577203;0.1371491035850637;0.026104120127430453;0.018990811124226858;0.6608195189081659;0.24068304142201163;1
2982;3856;C0345904;0.5663002169236947;0.30169327838911764;0.16443193608781545;0.15084288192676143;1.0;0.7325003434220777;1
2983;3856;C1708349;0.41473965589238815;0.21843738294972254;0.1141870932742119;0.09800376708394108;0.7964917113448995;0.31831948140683075;1
2984;3857;C2936837;0.8335556773038945;0.5793148643983997;1.0;1.0;1.0;0.8507657156669775;1
2985;3858;C0265334;0.4366392828858754;0.28749917293815785;0.18389222357853313;0.1887761601272704;0.8424894623430917;0.585532453977851;1
2986;3860;C0279626;0.0577809205628672;0.03999931602597291;0.0031226350837530773;0.0031376973225392354;0.05795808498020749;0.040161738477066174;1
2987;3861;C0006142;0.36985353358917095;0.14718808150998455;0.024297902349713216;0.019027350276796907;0.7964917113448995;0.29523998448102623;1
2988;3861;C0022283;0.5087271485761757;0.3357208572403312;0.19188092899472958;0.19409250668548797;1.0;0.7521272190768618;1
2989;3861;C0279626;0.27951809413214956;0.1777707801145958;0.06074326260270562;0.061454171000300914;0.7849646625971527;0.3619677114852192;1
2990;3868;C0005684;0.363625590628554;0.1489307657018788;0.03125608452103491;0.02140744141801571;0.7964917113448995;0.29523998448102623;1
2991;3868;C0265334;0.7678190269481298;0.5119520281862489;0.7084913698505315;0.6973707669160133;1.0;0.7418670990968165;1
