8220	0000398;0003674;0005515;0005634;0007399;0071013
1959	0000790;0000976;0000978;0000981;0001102;0001228;0003682;0003700;0005515;0005634;0005654;0005737;0006366;0006611;0007420;0007422;0007611;0007622;0008045;0014037;0014040;0016925;0021612;0021659;0021660;0021665;0021666;0030278;0031625;0031643;0032868;0035284;0035914;0042552;0043231;0043565;0045444;0045893;0045944;0046872;0048168;0061665;0071310;0071837;1990837;0006357
10280	0004985;0005515;0005635;0005637;0005640;0005783;0005789;0005811;0005887;0006869;0007399;0008144;0014069;0016021;0030426;0031410;0036474;0038003;0043523;0070207;0098839
1312	0000287;0005515;0005829;0005886;0007565;0007612;0007614;0008168;0008210;0014070;0016020;0016021;0016036;0016206;0032259;0032496;0035814;0042135;0042420;0042424;0042493;0043197;0043231;0043627;0044297;0045211;0045963;0048265;0048609;0048662;0050668;0051930;0070062;0102084;0102938;0008171;0032502;0030424;0030425;0042417
2138	0001656;0001658;0003151;0003723;0004725;0005515;0005634;0005654;0005737;0006302;0007389;0007501;0007605;0009653;0010212;0014706;0016576;0016604;0016925;0032993;0035335;0035909;0042473;0042474;0045664;0045739;0045944;0046872;0048665;0048704;0048752;0050679;0060037;0071600;0072513;0090103;2001240;0048856;0030154
7428	0000122;0000902;0004842;0005515;0005634;0005654;0005739;0005783;0005829;0006355;0006508;0008134;0008285;0010629;0016020;0016567;0019899;0043066;0043687;0045597;0045893;0046426;0050821;0061418;0061428;1990756
57817	0000122;0005179;0005576;0006879;0006953;0006955;0007165;0007568;0010039;0010043;0014704;0031640;0033189;0036017;0045179;0045471;0050832;0060586;0061051;0071222;0071354;0071356;0071481;0097421;1903413;1904479;1990641;0005615;0042742;0034760
4353	0001878;0002149;0002679;0003682;0004601;0005515;0005576;0005615;0005634;0005654;0005764;0006952;0006979;0007568;0008201;0009612;0019430;0020037;0030141;0032094;0032496;0034374;0035578;0042582;0042744;0043066;0043231;0043312;0045454;0046872;0050832;0055114;0070062;0097013;1990268;0042742
2065	0000165;0003197;0004888;0005515;0005524;0005615;0005886;0007162;0007165;0007169;0007422;0007507;0009968;0010628;0014037;0014065;0014068;0016323;0016324;0016328;0018108;0019838;0021545;0030296;0031625;0038128;0038132;0038143;0042060;0042127;0042802;0043125;0043235;0043524;0046982;0051048;0051402;0051897;0055025;0061098;0070886;0097192;2000145;0004713;0008284;0005887;0004714;0033674;0007399;0007275;0009925;0038131
7043	0000187;0001666;0001701;0002576;0005114;0005515;0005576;0005634;0005886;0007179;0007435;0007565;0007568;0008083;0008284;0008285;0009986;0010718;0010862;0010936;0030315;0030501;0030512;0030879;0031093;0032570;0032967;0034616;0034713;0034714;0042060;0042476;0042704;0042802;0043025;0043065;0043231;0043524;0043627;0043932;0044877;0045216;0045893;0045944;0048286;0048565;0048702;0048839;0050431;0050714;0051491;0051496;0051781;0060325;0060364;0060391;0062009;0062023;0070483;1904706;1905075;1905005;0030509;0060395;0042127;0005615;0005125
57572	0005085;0005515;0005829;0007264;0007596;0048471
7133	0002718;0002724;0002947;0003176;0003177;0003332;0005515;0005576;0005634;0005886;0006954;0007568;0010614;0016020;0016021;0019221;0031625;0031641;0031643;0033209;0035579;0042129;0043025;0043120;0043196;0043312;0045121;0048471;0048714;0050779;0051044;0060548;0071222;0071363;0150077;0150079;0150098;1901215;1902339;2001141;0008630;0005031;0097191
5727	0000122;0001658;0001701;0001709;0001843;0003007;0005113;0005119;0005515;0005634;0005886;0005901;0007224;0007346;0007420;0008201;0008589;0009612;0009887;0009953;0009957;0010157;0010875;0014069;0015485;0016021;0016485;0021522;0021532;0021997;0030326;0030332;0030496;0030666;0030850;0032355;0032526;0032880;0035108;0035137;0040015;0042493;0042593;0043231;0043433;0043616;0044294;0044295;0044877;0045177;0045606;0045668;0045879;0045893;0048471;0048568;0048745;0050680;0051782;0060037;0060170;0060603;0060644;0060831;0061005;0061053;0071397;0071679;0072203;0072205;0072659;0097108;0097421;0005794;0008158
2475	0000139;0001002;0001003;0001006;0001156;0001558;0001933;0001934;0001938;0002296;0003007;0003179;0004672;0004674;0005515;0005524;0005635;0005654;0005737;0005741;0005764;0005765;0005789;0005829;0005979;0006112;0006207;0006468;0007040;0007050;0007281;0007420;0007569;0007584;0007616;0008361;0008542;0009267;0009791;0010507;0010592;0010628;0010718;0010831;0012505;0014042;0014736;0014823;0016020;0016241;0016242;0016301;0016310;0018105;0018107;0019901;0019904;0021510;0030163;0030425;0030838;0031397;0031529;0031641;0031667;0031669;0031929;0031931;0031932;0031998;0032095;0032148;0032516;0032868;0032956;0034198;0035176;0035264;0038202;0042060;0042220;0042752;0042802;0043022;0043025;0043087;0043200;0043276;0043278;0043610;0045182;0045335;0045429;0045670;0045727;0045792;0045945;0046777;0046889;0048255;0048511;0048661;0048714;0050731;0050882;0051219;0051496;0051549;0051647;0051897;0055013;0060048;0060135;0060252;0060999;0061051;0070885;0071230;0071233;0071456;0090335;0090559;0098978;0099524;0099547;1900034;1901216;1901838;1903691;1904000;1904056;1904058;1904059;1904193;1904197;1904206;1904213;1904690;1990253;0016605;0005634
7157	0000122;0000733;0000790;0000976;0000978;0000981;0001046;0001085;0001094;0001228;0001701;0001756;0001836;0002020;0002039;0002244;0002309;0002326;0002360;0002931;0003677;0003682;0003700;0003730;0005507;0005515;0005524;0005634;0005654;0005657;0005667;0005730;0005737;0005739;0005759;0005783;0005813;0005829;0006289;0006302;0006355;0006606;0006914;0006974;0006977;0006978;0006983;0007050;0007179;0007265;0007369;0007406;0007569;0008104;0008134;0008156;0008270;0008285;0008340;0009299;0009303;0009651;0010165;0010332;0010628;0010666;0016032;0016363;0016579;0016605;0019221;0019899;0019901;0019903;0021549;0030308;0030330;0030512;0030971;0031065;0031497;0031571;0031625;0031965;0032991;0033077;0033209;0034103;0034644;0035033;0035035;0035264;0035690;0035794;0035861;0036003;0042149;0042771;0042802;0042826;0042981;0043065;0043066;0043153;0043504;0043516;0043525;0043621;0045861;0045892;0045893;0045899;0045944;0046677;0046827;0046982;0047485;0048147;0048512;0048539;0048568;0050731;0050821;0051087;0051097;0051262;0051402;0051721;0051974;0060218;0060333;0060411;0061419;0062100;0065003;0070059;0070245;0070266;0071158;0071456;0071479;0071480;0071494;0071850;0072331;0072332;0072717;0090200;0090343;0090399;0090403;0097193;0097252;0097371;0097718;1900119;1900740;1901525;1901796;1902108;1902253;1902749;1902895;1903799;1903800;1904024;1905856;1990144;1990248;1990440;1990841;2000269;2000378;2000379;2000772;2001244;0005669;0016604
9993	0007155;0009887;0016021;0030246;0050890;0016020
6597	0000122;0000790;0001164;0001188;0002039;0003407;0003713;0003714;0003723;0004386;0005515;0005524;0005615;0005634;0005654;0005730;0006325;0006337;0006338;0006357;0007399;0008094;0008134;0016020;0016514;0030177;0030308;0030957;0032991;0038111;0043044;0043923;0045892;0045893;0045944;0047485;0050681;0051091;0060766;0070182;0070577;0071564;0071565;1901838;1902661;1902895;1904837;0000978;0031492;0003677
79068	0001659;0005634;0005654;0005737;0006307;0008198;0010883;0016607;0016740;0035515;0035516;0035552;0035553;0040014;0042245;0043734;0044065;0060612;0061157;0070350;0070989;0080111;0090335;1990931;1990984
3990	0004620;0004622;0004806;0005576;0005615;0005788;0006633;0008201;0008203;0008970;0019433;0030169;0034185;0034364;0034372;0034373;0034374;0034375;0034382;0034638;0042632;0043691;0051004;0052739;0052740;0070328;0102545;0004465;0016042;0016298
8216	0005515;0005794;0012505;0016567;0017016;0031463;0046580;0055038
