C0265357	0004935;0005160;0001696;0001636;0001631;0000023;0001746;0031565;0001274;0001642;0031834;0001748;0011536;0001629;0000007;0002101;0001674;0001669;0011565;0001750
C3178806	0004935;0005160;0001696;0001636;0001631;0000023;0001746;0031565;0001274;0001642;0031834;0001748;0011536;0001629;0000007;0002101;0001674;0001669;0011565;0001750
C0039445	0001635;0002076;0100585;0001081;0002326;0100784;0001935;0001394;0200008;0007763;0002040;0002204;0000524;0100761;0001399;0000790;0001048;0007420;0001250;0002105;0001082;0004936;0001342;0000787;0000421;0002239;0001409;0002138;0000646;0002092;0000961;0002642;0002140;0000227;0001903;0002604;0002408;0006548;0006574;0000214;0002248;0002249;0001232;0002626;0100858;0002573;0000434;0002629;0030049;0000006;0006107;0004406;0011934;0000471;0005268;0001901;0002094;0001217;0002390;0002707;0001722;0001694
C3203102	0001009;0005308;0001708;0005312;0003829;0005317;0011353;0000006;0001977;0000822;0002094;0004964;0005168;0002092;0001667
C4551861	0001635;0002076;0100585;0001081;0002326;0100784;0001935;0001394;0200008;0007763;0002040;0002204;0000524;0100761;0001399;0000790;0001048;0007420;0001250;0002105;0001082;0004936;0001342;0000787;0000421;0002239;0001409;0002138;0000646;0002092;0000961;0002642;0002140;0000227;0001903;0002604;0002408;0006548;0006574;0000214;0002248;0002249;0001232;0002626;0100858;0002573;0000434;0002629;0030049;0000006;0006107;0004406;0011934;0000471;0005268;0001901;0002094;0001217;0002390;0002707;0001722;0001694
C0220744	0001539;0100592;0005229;0025085;0008070;0005224;0002566;0003765;0002223;0010959;0010766;0008404;0001561;0004430;0003270;0100651;0001890;0002293;0012115;0001511;0000872;0000778;0011100;0001629;0100889;0002722;0001072;0000316;0002573;0001438;0032220;0011220;0000007;0006297
C1863239	0001508;0010976;0011123;0005354;0025379;0002788;0006532;0002014;0030813;0010444;0005390;0003212;0012393;0000403;0005403;0002849;0000246;0004429;0001973;0002099;0012191;0005424;0002240;0004430;0001442;0001880;0002850;0001744;0002718;0005359;0002644;0005365;0000907;0002841;0008348;0001967;0030273;0001890;0000007;0002720;0031164;0000926;0002090
C3714534	0000006;0007456
C4552092	0000006;0007456
C0796126	0001433;0001945;0000253;0002187;0001873;0009709;0009710;0002059;0002421;0002352;0008936;0004394;0002135;0000639;0002448;0000006;0001257;0008872;0000486;0002910;0000967;0002062;0001250;0002071;0001744;0002240;0007321;0000007;0001063;0001263;0009704;0006579;0001332
C3489724	0009704;0001298;0003828;0001332;0000007;0002135;0100827;0002059;0000252;0001258
C3489725	0001347;0002120;0001250;0002514;0001257;0000252;0000218;0001873;0001744;0000463;0001321;0007759;0002240;0000007;0002119;0000639;0000340;0001410;0002910;0000308;0001263;0001508;0002922;0000083;0000518;0002126;0000343;0001302;0000952;0002187;0000369;0000967;0008936
C0149925	0100526;0000006
C1857809	0000399;0000007
C0011860	0000006;0000855;0003584;0005978;0031819
C0009324	0001824;0002014;0002027;0005214;0001510;0100279;0011107;0001425;0001426
C0023467	0000006;0001428;0004808
C0279626	0011459;0012735;0001608;0001864;0002017;0008872;0100749;0002716
C0085580	0001426;0004972;0005117;0004421
C0007785	0001297
